frame_idx,timestamp_ms,detected,center_x,center_y,bbox_x,bbox_y,bbox_w,bbox_h,confidence,area,contour_area,distance_px,heatmap_ready,is_paused,kalman_corrected,kalman_predicted,pause_count,pause_duration_s,size_mean,speed_px_s,total_pause_time_s
0,0.00,1,708,256,640,80,148,354,0.7373,38627.50,38627.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,30492,0.0,0.0
1,33.33,1,704,263,631,80,157,364,0.7082,40470.50,40470.5,8.06225774829855,1.0,0.0,1.0,1.0,0.0,0.0,30492,241.86773244895647,0.0
2,66.67,1,696,291,620,116,168,336,0.6276,35426.00,35426.0,37.18269730542062,1.0,0.0,1.0,1.0,0.0,0.0,30492,555.0,0.0
3,100.00,1,692,305,605,116,183,342,0.5881,36806.00,36806.0,51.74291708398165,1.0,0.0,1.0,1.0,0.0,0.0,30492,515.4609587543948,0.0
4,133.33,1,687,322,584,150,204,311,0.5740,36420.00,36420.0,69.462962230651,1.0,0.0,1.0,1.0,0.0,0.0,30492,519.4528371276838,0.0
5,166.67,1,674,371,545,315,237,152,0.5922,21334.50,21334.5,120.1581296531973,1.0,0.0,1.0,1.0,0.0,0.0,30492,840.6693761521233,0.0
6,200.00,1,663,396,526,315,252,160,0.5879,23705.50,23705.5,147.47113022069263,1.0,0.0,1.0,1.0,0.0,0.0,30492,825.4771347529862,0.0
7,233.33,1,658,408,526,315,252,160,0.5879,23704.50,23704.5,160.47113022069263,1.0,0.0,1.0,1.0,0.0,0.0,30492,813.4993853716178,0.0
8,266.67,1,653,416,511,315,261,166,0.6056,26236.50,26236.5,169.90511135274923,1.0,0.0,1.0,1.0,0.0,0.0,30492,749.699939975988,0.0
9,300.00,1,645,423,493,315,267,170,0.6205,28163.00,28163.0,180.53525716548387,1.0,0.0,1.0,1.0,0.0,0.0,30492,446.5492693981259,0.0
10,333.33,1,636,429,476,316,274,174,0.6009,28649.00,28649.0,191.35191099187583,1.0,0.0,1.0,1.0,0.0,0.0,30492,319.7850840799177,0.0
11,366.67,1,627,435,460,334,287,156,0.6389,28603.00,28603.0,202.16856481826778,1.0,0.0,1.0,1.0,0.0,0.0,30492,308.32207186641705,0.0
12,400.00,1,617,439,446,316,317,176,0.5262,29357.50,29357.5,212.93889443253678,1.0,0.0,1.0,1.0,0.0,0.0,30492,320.40014044940733,0.0
13,433.33,1,606,441,430,316,333,178,0.5049,29928.50,29928.5,224.11923432003573,1.0,0.0,1.0,1.0,0.0,0.0,30492,322.15097392371786,0.0
14,466.67,1,593,442,409,346,333,152,0.6033,30535.50,30535.5,237.15763913044103,1.0,0.0,1.0,1.0,0.0,0.0,30492,336.91616167824293,0.0
15,500.00,1,579,443,392,347,343,154,0.5930,31321.00,31321.0,251.19330797805924,1.0,0.0,1.0,1.0,0.0,0.0,30492,364.9657518178931,0.0
16,533.33,1,566,444,381,349,344,155,0.6021,32106.50,32106.5,264.23171278846456,1.0,0.0,1.0,1.0,0.0,0.0,30492,384.3338392595688,0.0
17,566.67,1,555,445,357,349,377,155,0.5897,34457.50,34457.5,275.2770738056518,1.0,0.0,1.0,1.0,0.0,0.0,30492,383.67466687286,0.0
18,600.00,1,544,445,350,347,382,155,0.5851,34645.00,34645.0,286.2770738056518,1.0,0.0,1.0,1.0,0.0,0.0,30492,368.1881312590074,0.0
19,633.33,1,537,444,350,347,383,155,0.5838,34654.50,34654.5,293.3481416175173,1.0,0.0,1.0,1.0,0.0,0.0,30492,315.08927306400017,0.0
20,666.67,1,530,443,350,345,382,155,0.5902,34945.00,34945.0,300.41920942938276,1.0,0.0,1.0,1.0,0.0,0.0,30492,270.1041465805367,0.0
21,700.00,1,523,440,349,342,381,155,0.5885,34751.00,34751.0,308.0349825352467,1.0,0.0,1.0,1.0,0.0,0.0,30492,242.91202111052473,0.0
22,733.33,1,516,438,349,341,378,155,0.5842,34231.00,34231.0,315.3150924245272,1.0,0.0,1.0,1.0,0.0,0.0,30492,216.46304534492722,0.0
23,766.67,1,510,435,349,343,349,153,0.6179,32996.50,32996.5,322.0232963570266,1.0,0.0,1.0,1.0,0.0,0.0,30492,213.4537420613655,0.0
24,800.00,1,507,434,350,344,349,150,0.6108,31976.50,31976.5,325.185574017195,1.0,0.0,1.0,1.0,0.0,0.0,30492,185.2363355284269,0.0
25,833.33,1,507,433,350,345,343,152,0.5972,31136.50,31136.5,326.185574017195,1.0,0.0,1.0,1.0,0.0,0.0,30492,130.98186897429727,0.0
26,866.67,1,508,433,352,346,347,154,0.5772,30846.50,30846.5,327.185574017195,1.0,0.0,1.0,1.0,0.0,0.0,30492,70.75485849042448,0.0
27,900.00,1,510,433,353,347,359,153,0.5616,30844.50,30844.5,329.185574017195,1.0,0.0,1.0,1.0,0.0,0.0,30492,15.000000000000004,0.0
28,933.33,1,512,432,352,346,362,152,0.5667,31180.00,31180.0,331.42164199469477,1.0,0.0,1.0,1.0,0.0,0.0,30492,40.38873605350879,0.0
29,966.67,1,512,432,351,345,365,149,0.5884,32000.00,32000.0,331.42164199469477,1.0,1.0,1.0,1.0,0.0,0.0,30492,38.24264635194589,0.0
30,1000.00,1,512,432,351,345,363,149,0.5943,32144.50,32144.5,331.42164199469477,1.0,1.0,1.0,1.0,0.0,0.033333333333333326,30492,30.92329219213246,0.0
31,1033.33,1,512,432,351,345,363,149,0.5944,32150.50,32150.5,331.42164199469477,1.0,1.0,1.0,1.0,0.0,0.06666666666666676,30492,16.770509831248415,0.0
32,1066.67,1,512,432,350,345,362,149,0.5987,32290.00,32290.0,331.42164199469477,1.0,1.0,1.0,1.0,0.0,0.09999999999999998,30492,0.0,0.0
33,1100.00,1,512,431,351,344,387,150,0.5564,32297.00,32297.0,332.42164199469477,1.0,0.0,1.0,1.0,0.0,0.0,30492,7.499999999999996,0.0
34,1133.33,1,512,431,352,346,364,148,0.5899,31778.00,31778.0,332.42164199469477,1.0,1.0,1.0,1.0,0.0,0.0,30492,7.500000000000002,0.0
35,1166.67,1,514,431,357,345,380,149,0.5556,31458.00,31458.0,334.42164199469477,1.0,0.0,1.0,1.0,0.0,0.0,30492,16.77050983124843,0.0
36,1200.00,1,517,430,364,345,373,149,0.5441,30239.00,30239.0,337.58391965486317,1.0,0.0,1.0,1.0,0.0,0.0,30492,40.38873605350879,0.0
37,1233.33,1,521,430,373,346,345,150,0.5663,29306.00,29306.0,341.58391965486317,1.0,0.0,1.0,1.0,0.0,0.0,30492,67.91538853603065,0.0
38,1266.67,1,524,430,376,349,341,149,0.5680,28858.00,28858.0,344.58391965486317,1.0,0.0,1.0,1.0,0.0,0.0,30492,90.31195934094224,0.0
39,1300.00,1,528,430,374,351,343,149,0.5635,28799.50,28799.5,348.58391965486317,1.0,0.0,1.0,1.0,0.0,0.0,30492,105.26751635713651,0.0
40,1333.33,1,530,430,373,352,345,148,0.5678,28991.00,28991.0,350.58391965486317,1.0,0.0,1.0,1.0,0.0,0.0,30492,97.50000000000003,0.0
41,1366.67,1,530,429,372,352,348,148,0.5661,29154.00,29154.0,351.58391965486317,1.0,0.0,1.0,1.0,0.0,0.0,30492,67.91538853603065,0.0
42,1400.00,1,531,429,374,352,340,148,0.5742,28894.00,28894.0,352.58391965486317,1.0,0.0,1.0,1.0,0.0,0.0,30492,53.03300858899108,0.0
43,1433.33,1,532,429,374,352,340,148,0.5741,28887.50,28887.5,353.58391965486317,1.0,0.0,1.0,1.0,0.0,0.0,30492,30.92329219213246,0.0
44,1466.67,1,532,429,373,352,341,148,0.5788,29210.00,29210.0,353.58391965486317,1.0,1.0,1.0,1.0,0.0,0.0,30492,16.77050983124843,0.0
45,1500.00,1,531,429,370,352,342,149,0.5804,29573.50,29573.5,354.58391965486317,1.0,0.0,1.0,1.0,0.0,0.0,30492,7.500000000000002,0.0
46,1533.33,1,530,429,372,356,330,149,0.6098,29985.50,29985.5,355.58391965486317,1.0,0.0,1.0,1.0,0.0,0.0,30492,7.499999999999989,0.0
47,1566.67,1,529,430,376,366,327,146,0.6295,30055.00,30055.0,356.9981332172363,1.0,0.0,1.0,1.0,0.0,0.0,30492,23.71708245126285,0.0
48,1600.00,1,529,431,383,364,333,148,0.6019,29664.50,29664.5,357.9981332172363,1.0,0.0,1.0,1.0,0.0,0.0,30492,27.04163456597988,0.0
49,1633.33,1,529,432,388,355,332,157,0.5686,29637.50,29637.5,358.9981332172363,1.0,0.0,1.0,1.0,0.0,0.0,30492,27.041634565979926,0.0
50,1666.67,1,528,431,384,350,326,162,0.5684,30016.50,30016.5,360.4123467796094,1.0,0.0,1.0,1.0,0.0,0.0,30492,21.213203435596434,0.0
51,1700.00,1,525,430,371,346,337,166,0.5504,30793.00,30793.0,363.5746244397778,1.0,0.0,1.0,1.0,0.0,0.0,30492,30.000000000000007,0.0
52,1733.33,1,520,429,355,349,331,162,0.5839,31309.50,31309.5,368.6736439533706,1.0,0.0,1.0,1.0,0.0,0.0,30492,69.14658342969666,0.0
53,1766.67,1,516,428,350,346,352,163,0.5528,31719.00,31719.0,372.7967495789882,1.0,0.0,1.0,1.0,0.0,0.0,30492,102.01102881551586,0.0
54,1800.00,1,511,426,350,346,318,158,0.6255,31429.00,31429.0,378.18191438612274,1.0,0.0,1.0,1.0,0.0,0.0,30492,132.90033860002015,0.0
55,1833.33,1,507,425,350,346,318,158,0.6253,31417.50,31417.5,382.3050200117404,1.0,0.0,1.0,1.0,0.0,0.0,30492,140.11156269202058,0.0
56,1866.67,1,502,424,348,346,312,157,0.6372,31210.50,31210.5,387.4040395253332,1.0,0.0,1.0,1.0,0.0,0.0,30492,140.11156269202058,0.0
57,1900.00,1,496,422,348,342,291,160,0.6561,30548.00,30548.0,393.72859484566993,1.0,0.0,1.0,1.0,0.0,0.0,30492,156.6045976336583,0.0
58,1933.33,1,490,421,348,340,276,164,0.6549,29642.50,29642.5,399.81135737596816,1.0,0.0,1.0,1.0,0.0,0.0,30492,161.9027485869218,0.0
59,1966.67,1,483,422,348,338,262,172,0.6558,29552.00,29552.0,406.88242518783363,1.0,0.0,1.0,1.0,0.0,0.0,30492,181.4007993367174,0.0
60,2000.00,1,478,423,348,340,266,173,0.6338,29165.00,29165.0,411.9814447014264,1.0,0.0,1.0,1.0,0.0,0.0,30492,180.15618224196473,0.0
61,2033.33,1,473,425,348,341,262,175,0.6239,28607.50,28607.5,417.36660950856094,1.0,0.0,1.0,1.0,0.0,0.0,30492,173.96120257114805,0.0
62,2066.67,1,468,426,348,342,275,174,0.5897,28215.00,28215.0,422.46562902215373,1.0,0.0,1.0,1.0,0.0,0.0,30492,169.20771259017693,0.0
63,2100.00,1,465,427,348,346,273,168,0.6082,27896.50,27896.5,425.62790668232213,1.0,0.0,1.0,1.0,0.0,0.0,30492,140.11156269202033,0.0
64,2133.33,1,462,427,348,346,272,168,0.6066,27718.50,27718.5,428.62790668232213,1.0,0.0,1.0,1.0,0.0,0.0,30492,123.69316876852984,0.0
65,2166.67,1,460,428,348,346,270,170,0.6028,27666.50,27666.5,430.8639746598219,1.0,0.0,1.0,1.0,0.0,0.0,30492,100.06248048094753,0.0
66,2200.00,1,458,429,348,346,269,170,0.5977,27332.50,27332.5,433.1000426373217,1.0,0.0,1.0,1.0,0.0,0.0,30492,78.30229881682915,0.0
67,2233.33,1,457,430,348,346,269,170,0.5980,27345.50,27345.5,434.5142561996948,1.0,0.0,1.0,1.0,0.0,0.0,30492,64.0800280898815,0.0
68,2266.67,1,456,430,348,350,270,164,0.6113,27066.50,27066.5,435.5142561996948,1.0,0.0,1.0,1.0,0.0,0.0,30492,50.31152949374528,0.0
69,2300.00,1,456,431,349,346,267,168,0.5879,26370.50,26370.5,436.5142561996948,1.0,0.0,1.0,1.0,0.0,0.0,30492,37.50000000000001,0.0
70,2333.33,1,456,432,348,355,265,157,0.6275,26107.00,26107.0,437.5142561996948,1.0,0.0,1.0,1.0,0.0,0.0,30492,27.041634565979926,0.0
71,2366.67,1,454,432,348,355,261,155,0.6487,26243.50,26243.5,439.5142561996948,1.0,0.0,1.0,1.0,0.0,0.0,30492,27.041634565979926,0.0
72,2400.00,1,451,432,348,355,251,153,0.6625,25441.50,25441.5,442.5142561996948,1.0,0.0,1.0,1.0,0.0,0.0,30492,40.38873605350879,0.0
73,2433.33,1,446,432,348,353,243,154,0.6397,23940.50,23940.5,447.5142561996948,1.0,0.0,1.0,1.0,0.0,0.0,30492,75.37406715840669,0.0
74,2466.67,1,428,430,207,355,361,151,0.6770,36902.50,36902.5,465.6250264759696,1.0,0.0,1.0,1.0,0.0,0.0,30492,210.53503271427303,0.0
75,2500.00,1,407,428,193,360,342,142,0.7112,34539.00,34539.0,486.7200495856986,1.0,0.0,1.0,1.0,0.0,0.0,30492,353.7742924521227,0.0
76,2533.33,1,384,426,176,350,334,150,0.6901,34574.50,34574.5,509.806842346929,1.0,0.0,1.0,1.0,0.0,0.0,30492,504.5109017652643,0.0
77,2566.67,1,367,423,180,339,333,158,0.6838,35977.00,35977.0,527.0695188485611,1.0,0.0,1.0,1.0,0.0,0.0,30492,596.3325414565247,0.0
78,2600.00,1,354,418,180,325,333,165,0.6781,37257.00,37257.0,540.9979071257452,1.0,0.0,1.0,1.0,0.0,0.0,30492,562.2499444197396,0.0
